step,server_time,client_time,rss_after_bytes,rss_delta_bytes,power_watts,energy_joules,throughput
train_batch_0009_epoch_2_bootstrap_weights,40.48429,0.0,3729911808,-74321920,0.0,0.0,0.024701
train_batch_0009_epoch_3_forward_backward_stream,1598.299149,0.0,3825217536,95305728,0.0,0.0,0.000626
train_batch_0009_epoch_3_weight_update,0.186746,0.0,3825217536,0,0.0,0.0,5.354869
train_batch_0009_epoch_3_bootstrap_weights,40.594546,0.0,3813314560,-11902976,0.0,0.0,0.024634
train_batch_0009_fhe_output_bootstrap,40.710044,0.0,3945959424,-66867200,0.0,0.0,0.024564
train_batch_0010_1_linear,33.02866,0.0,3744772096,0,0.0,0.0,0.030277
train_batch_0010_2_attention,71.243918,0.0,3744903168,131072,0.0,0.0,0.014036
train_batch_0010_3_leakyrelu,57.417279,0.0,3758403584,13500416,0.0,0.0,0.017416
train_batch_0010_4_bootstrap_after_pack,1235.410115,0.0,3891863552,133459968,0.0,0.0,0.000809
train_batch_0010_epoch_1_forward_backward_stream,1601.629462,0.0,3405074432,1347256320,0.0,0.0,0.000624
train_batch_0010_epoch_1_weight_update,0.182898,0.0,3405074432,0,0.0,0.0,5.467537
train_batch_0010_epoch_1_bootstrap_weights,40.919382,0.0,3439824896,34750464,0.0,0.0,0.024438
train_batch_0010_epoch_2_forward_backward_stream,1605.183629,0.0,3871539200,431714304,0.0,0.0,0.000623
train_batch_0010_epoch_2_weight_update,0.19664,0.0,3742670848,-128868352,0.0,0.0,5.085443
train_batch_0010_epoch_2_bootstrap_weights,40.675603,0.0,3616305152,-126365696,0.0,0.0,0.024585
train_batch_0010_epoch_3_forward_backward_stream,1600.815182,0.0,3885944832,269639680,0.0,0.0,0.000625
train_batch_0010_epoch_3_weight_update,0.184484,0.0,3885944832,0,0.0,0.0,5.420536
train_batch_0010_epoch_3_bootstrap_weights,40.78349,0.0,3744772096,-141172736,0.0,0.0,0.02452
